Time,Q1,Q2,T1,T2
218.0,80.0,35.0,56.402499999999996,31.585399999999996
220.0,80.0,35.0,56.402499999999996,31.9077
222.0,80.0,35.0,56.724799999999995,31.9077
224.0,80.0,35.0,56.724799999999995,31.9077
226.0,80.0,35.0,57.04709999999999,31.9077
228.0,80.0,35.0,57.3694,32.23
230.0,80.0,35.0,57.3694,32.23
232.0,80.0,35.0,57.6917,32.23
234.0,80.0,35.0,57.6917,32.552299999999995
236.0,80.0,35.0,58.013999999999996,32.552299999999995
238.0,80.0,35.0,58.013999999999996,32.552299999999995
240.0,80.0,35.0,58.336299999999994,32.8746
242.0,80.0,35.0,58.336299999999994,32.8746
244.0,80.0,35.0,58.65859999999999,32.8746
246.0,80.0,35.0,58.65859999999999,32.8746
248.0,80.0,35.0,58.9809,33.1969
250.0,80.0,35.0,58.9809,33.1969
252.0,80.0,35.0,59.3032,33.1969
254.0,80.0,35.0,59.625499999999995,33.5192
256.0,80.0,35.0,59.625499999999995,33.5192
258.0,80.0,35.0,59.947799999999994,33.5192
260.0,80.0,35.0,59.947799999999994,33.5192
262.0,80.0,35.0,60.27009999999999,33.841499999999996
264.0,80.0,35.0,60.27009999999999,33.841499999999996
266.0,80.0,35.0,60.27009999999999,33.841499999999996
268.0,80.0,35.0,60.5924,33.841499999999996
270.0,80.0,35.0,60.5924,33.841499999999996
272.0,80.0,35.0,60.914699999999996,34.163799999999995
274.0,80.0,35.0,60.914699999999996,34.163799999999995
276.0,80.0,35.0,61.236999999999995,34.163799999999995
278.0,80.0,35.0,61.236999999999995,34.4861
280.0,80.0,35.0,61.236999999999995,34.4861
282.0,80.0,35.0,61.236999999999995,34.4861
284.0,80.0,35.0,61.55929999999999,34.4861
286.0,80.0,35.0,61.55929999999999,34.4861
288.0,80.0,35.0,61.88159999999999,34.8084
290.0,80.0,35.0,61.88159999999999,34.8084
292.0,80.0,35.0,62.2039,34.8084
294.0,80.0,35.0,62.2039,34.8084
296.0,80.0,35.0,62.526199999999996,34.8084
298.0,80.0,35.0,62.526199999999996,35.1307
300.0,20.0,95.0,62.526199999999996,35.1307
302.0,20.0,95.0,62.526199999999996,35.1307
304.0,20.0,95.0,62.526199999999996,35.1307
306.0,20.0,95.0,62.526199999999996,35.452999999999996
308.0,20.0,95.0,62.526199999999996,35.452999999999996
310.0,20.0,95.0,62.526199999999996,35.452999999999996
312.0,20.0,95.0,62.526199999999996,35.775299999999994
314.0,20.0,95.0,62.2039,36.0976
316.0,20.0,95.0,62.2039,36.0976
318.0,20.0,95.0,61.88159999999999,36.4199
320.0,20.0,95.0,61.55929999999999,36.4199
322.0,20.0,95.0,61.55929999999999,36.7422
324.0,20.0,95.0,61.236999999999995,36.7422
326.0,20.0,95.0,60.914699999999996,37.064499999999995
328.0,20.0,95.0,60.914699999999996,37.064499999999995
330.0,20.0,95.0,60.5924,37.386799999999994
332.0,20.0,95.0,60.27009999999999,37.7091
334.0,20.0,95.0,59.947799999999994,37.7091
336.0,20.0,95.0,59.625499999999995,38.0314
338.0,20.0,95.0,59.3032,38.353699999999996
340.0,20.0,95.0,59.3032,38.353699999999996
342.0,20.0,95.0,58.9809,38.675999999999995
344.0,20.0,95.0,58.65859999999999,38.9983
346.0,20.0,95.0,58.336299999999994,38.9983
348.0,20.0,95.0,58.013999999999996,38.9983
350.0,20.0,95.0,57.6917,39.3206
352.0,20.0,95.0,57.6917,39.6429
354.0,20.0,95.0,57.3694,39.6429
356.0,20.0,95.0,57.04709999999999,39.965199999999996
358.0,20.0,95.0,56.724799999999995,39.965199999999996
360.0,20.0,95.0,56.402499999999996,40.287499999999994
362.0,20.0,95.0,56.0802,40.287499999999994
364.0,20.0,95.0,56.0802,40.6098
366.0,20.0,95.0,55.75789999999999,40.6098
368.0,20.0,95.0,55.435599999999994,40.6098
370.0,20.0,95.0,55.113299999999995,40.9321
372.0,20.0,95.0,55.113299999999995,41.2544
374.0,20.0,95.0,54.791,41.2544
376.0,20.0,95.0,54.4687,41.2544
378.0,20.0,95.0,54.14639999999999,41.576699999999995
380.0,20.0,95.0,54.14639999999999,41.576699999999995
382.0,20.0,95.0,53.824099999999994,41.898999999999994
384.0,20.0,95.0,53.501799999999996,41.898999999999994
386.0,20.0,95.0,53.501799999999996,42.2213
388.0,20.0,95.0,53.1795,42.2213
390.0,20.0,95.0,52.8572,42.5436
392.0,20.0,95.0,52.8572,42.5436
394.0,20.0,95.0,52.53489999999999,42.5436
396.0,20.0,95.0,52.212599999999995,42.865899999999996
398.0,20.0,95.0,52.212599999999995,42.865899999999996
400.0,20.0,95.0,51.890299999999996,42.865899999999996
402.0,20.0,95.0,51.568,43.188199999999995
404.0,20.0,95.0,51.568,43.188199999999995
406.0,20.0,95.0,51.2457,43.188199999999995
408.0,20.0,95.0,51.2457,43.188199999999995
410.0,20.0,95.0,50.923399999999994,43.51049999999999
412.0,20.0,95.0,50.601099999999995,43.51049999999999
414.0,20.0,95.0,50.601099999999995,43.8328
416.0,20.0,95.0,50.2788,43.8328
418.0,20.0,95.0,50.2788,44.1551
420.0,20.0,95.0,49.9565,44.1551
422.0,20.0,95.0,49.9565,44.1551
424.0,20.0,95.0,49.63419999999999,44.477399999999996
426.0,20.0,95.0,49.63419999999999,44.477399999999996
428.0,20.0,95.0,49.311899999999994,44.477399999999996
430.0,20.0,95.0,48.989599999999996,44.477399999999996
432.0,20.0,95.0,48.989599999999996,44.799699999999994
434.0,20.0,95.0,48.6673,44.799699999999994
436.0,20.0,95.0,48.6673,44.799699999999994
438.0,20.0,95.0,48.6673,45.122
440.0,20.0,95.0,48.345,45.122
442.0,20.0,95.0,48.345,45.122
444.0,20.0,95.0,48.02269999999999,45.122
446.0,20.0,95.0,48.02269999999999,45.122
448.0,20.0,95.0,47.700399999999995,45.4443
450.0,20.0,95.0,47.700399999999995,45.4443
452.0,20.0,95.0,47.378099999999996,45.4443
454.0,20.0,95.0,47.378099999999996,45.7666
456.0,20.0,95.0,47.0558,45.7666
458.0,20.0,95.0,47.0558,45.7666
460.0,20.0,95.0,46.7335,45.7666
462.0,20.0,95.0,46.7335,46.088899999999995
464.0,20.0,95.0,46.7335,46.088899999999995
466.0,20.0,95.0,46.411199999999994,46.088899999999995
468.0,20.0,95.0,46.411199999999994,46.088899999999995
470.0,20.0,95.0,46.088899999999995,46.411199999999994
472.0,20.0,95.0,46.088899999999995,46.411199999999994
474.0,20.0,95.0,46.088899999999995,46.411199999999994
476.0,20.0,95.0,46.088899999999995,46.411199999999994
478.0,20.0,95.0,45.7666,46.411199999999994
480.0,20.0,95.0,45.7666,46.7335
482.0,20.0,95.0,45.4443,46.7335
484.0,20.0,95.0,45.4443,46.7335
486.0,20.0,95.0,45.4443,46.7335
488.0,20.0,95.0,45.122,46.7335
490.0,20.0,95.0,45.122,47.0558
492.0,20.0,95.0,44.799699999999994,47.0558
494.0,20.0,95.0,44.799699999999994,47.0558
496.0,20.0,95.0,44.799699999999994,47.0558
498.0,20.0,95.0,44.477399999999996,47.378099999999996
500.0,20.0,25.0,44.477399999999996,47.378099999999996
502.0,20.0,25.0,44.477399999999996,47.378099999999996
504.0,20.0,25.0,44.477399999999996,47.378099999999996
506.0,20.0,25.0,44.477399999999996,47.378099999999996
508.0,20.0,25.0,44.1551,47.0558
510.0,20.0,25.0,44.1551,47.0558
512.0,20.0,25.0,43.8328,47.0558
514.0,20.0,25.0,43.8328,47.0558
516.0,20.0,25.0,43.8328,46.7335
518.0,20.0,25.0,43.51049999999999,46.7335
520.0,20.0,25.0,43.51049999999999,46.7335
522.0,20.0,25.0,43.51049999999999,46.411199999999994
524.0,20.0,25.0,43.188199999999995,46.411199999999994
526.0,20.0,25.0,43.188199999999995,46.088899999999995
528.0,20.0,25.0,43.188199999999995,46.088899999999995
530.0,20.0,25.0,43.188199999999995,45.7666
532.0,20.0,25.0,42.865899999999996,45.7666
534.0,20.0,25.0,42.865899999999996,45.4443
536.0,20.0,25.0,42.865899999999996,45.4443
538.0,20.0,25.0,42.5436,45.122
540.0,20.0,25.0,42.5436,44.799699999999994
542.0,20.0,25.0,42.2213,44.799699999999994
544.0,20.0,25.0,42.2213,44.477399999999996
546.0,20.0,25.0,42.2213,44.477399999999996
548.0,20.0,25.0,42.2213,44.1551
550.0,20.0,25.0,41.898999999999994,44.1551
552.0,20.0,25.0,41.898999999999994,43.8328
554.0,20.0,25.0,41.898999999999994,43.8328
556.0,20.0,25.0,41.898999999999994,43.51049999999999
558.0,20.0,25.0,41.576699999999995,43.188199999999995
560.0,20.0,25.0,41.576699999999995,43.188199999999995
562.0,20.0,25.0,41.2544,42.865899999999996
564.0,20.0,25.0,41.2544,42.865899999999996
566.0,20.0,25.0,41.2544,42.5436
568.0,20.0,25.0,40.9321,42.5436
570.0,20.0,25.0,40.9321,42.2213
572.0,20.0,25.0,40.9321,42.2213
574.0,20.0,25.0,40.9321,41.898999999999994
576.0,20.0,25.0,40.6098,41.898999999999994
578.0,20.0,25.0,40.6098,41.576699999999995
580.0,20.0,25.0,40.6098,41.576699999999995
582.0,20.0,25.0,40.6098,41.2544
584.0,20.0,25.0,40.287499999999994,41.2544
586.0,20.0,25.0,40.287499999999994,41.2544
588.0,20.0,25.0,40.287499999999994,40.9321
590.0,20.0,25.0,39.965199999999996,40.6098
592.0,20.0,25.0,39.965199999999996,40.6098
594.0,20.0,25.0,39.965199999999996,40.6098
596.0,20.0,25.0,39.965199999999996,40.287499999999994
598.0,20.0,25.0,39.965199999999996,40.287499999999994
600.0,70.0,25.0,39.6429,40.287499999999994
602.0,70.0,25.0,39.6429,39.965199999999996
604.0,70.0,25.0,39.6429,39.6429
606.0,70.0,25.0,39.6429,39.6429
608.0,70.0,25.0,39.6429,39.6429
610.0,70.0,25.0,39.6429,39.3206
612.0,70.0,25.0,39.965199999999996,39.3206
614.0,70.0,25.0,39.965199999999996,39.3206
616.0,70.0,25.0,40.287499999999994,38.9983
618.0,70.0,25.0,40.6098,38.9983
620.0,70.0,25.0,40.6098,38.9983
622.0,70.0,25.0,40.6098,38.675999999999995
624.0,70.0,25.0,40.9321,38.675999999999995
626.0,70.0,25.0,41.2544,38.675999999999995
628.0,70.0,25.0,41.576699999999995,38.675999999999995
630.0,70.0,25.0,41.576699999999995,38.353699999999996
632.0,70.0,25.0,41.898999999999994,38.353699999999996
634.0,70.0,25.0,42.2213,38.353699999999996
636.0,70.0,25.0,42.5436,38.353699999999996
638.0,70.0,25.0,42.865899999999996,38.353699999999996
640.0,70.0,25.0,42.865899999999996,38.0314
642.0,70.0,25.0,43.188199999999995,38.0314
644.0,70.0,25.0,43.51049999999999,38.0314
646.0,70.0,25.0,43.8328,37.7091
648.0,70.0,25.0,43.8328,37.7091
650.0,70.0,25.0,44.1551,38.0314
652.0,70.0,25.0,44.477399999999996,37.7091
654.0,70.0,25.0,44.799699999999994,37.7091
656.0,70.0,25.0,45.122,37.7091
658.0,70.0,25.0,45.4443,37.386799999999994
660.0,70.0,25.0,45.4443,37.386799999999994
662.0,70.0,25.0,45.7666,37.7091
664.0,70.0,25.0,46.088899999999995,37.386799999999994
666.0,70.0,25.0,46.088899999999995,37.386799999999994
668.0,70.0,25.0,46.411199999999994,37.386799999999994
670.0,70.0,25.0,46.7335,37.386799999999994
672.0,70.0,25.0,47.0558,37.386799999999994
674.0,70.0,25.0,47.0558,37.386799999999994
676.0,70.0,25.0,47.378099999999996,37.064499999999995
